label,p00,p01,p02,p03,p04,p05,p06,p10,p11,p12,p13,p14,p15,p16,p20,p21,p22,p23,p24,p25,p26,p30,p31,p32,p33,p34,p35,p36,p40,p41,p42,p43,p44,p45,p46,p50,p51,p52,p53,p54,p55,p56,p60,p61,p62,p63,p64,p65,p66
5,0,0,0,0,0,0,0,0,3,82,125,128,108,0,0,1,118,134,43,0,0,0,0,1,124,74,0,0,0,0,0,54,211,4,0,0,56,168,164,39,0,0,0,56,31,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,104,211,28,0,0,0,105,165,96,129,0,0,37,132,3,0,172,0,0,84,53,7,114,47,0,0,58,207,157,36,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,27,0,0,0,68,0,11,100,0,0,42,87,0,40,121,74,92,163,23,0,0,41,32,0,131,0,0,0,0,0,0,137,0,0,0,0,0,0,32,0,0
1,0,0,0,0,0,0,0,0,0,0,0,100,60,0,0,0,0,31,178,3,0,0,0,2,174,38,0,0,0,0,88,142,0,0,0,0,0,189,27,0,0,0,0,0,43,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,42,38,4,0,0,0,111,103,206,19,0,0,56,159,155,101,0,0,0,4,53,135,18,0,0,0,0,0,138,7,0,0,0,0,0,35,69,0,0
2,0,0,0,0,0,0,0,0,0,3,82,130,3,0,0,0,119,135,144,15,0,0,0,38,136,191,5,0,0,71,133,133,123,125,19,0,106,117,26,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,3,183,0,0,0,0,0,3,204,16,0,0,0,0,0,189,27,0,0,0,0,0,174,79,0,0,0,0,0,92,135,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,71,166,189,73,0,0,0,42,41,167,104,0,0,0,119,201,210,15,0,0,5,14,17,175,0,0,0,149,162,175,94,0,0,0,7,48,2,0,0,0
1,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0,153,0,0,0,0,0,0,151,0,0,0,0,0,0,140,14,0,0,0,0,0,103,9,0,0,0,0,0,24,2,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,8,113,64,87,0,0,6,163,109,153,0,0,0,56,44,185,96,0,0,0,0,76,71,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,47,227,104,0,0,0,0,0,184,150,0,0,0,0,44,211,159,0,0,0,12,6,26,160,0,0,0,51,157,213,39,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,27,25,0,0,0,36,126,113,30,0,0,38,114,1,0,0,0,67,94,148,0,0,0,0,7,54,14,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,23,156,157,144,59,0,0,2,11,4,135,102,0,0,0,0,59,208,171,38,0,0,0,15,0,131,155,0,0,20,184,125,211,52,0,0,0,23,44,9,0,0
6,0,0,0,9,72,0,0,0,0,3,176,47,0,0,0,0,114,63,25,0,0,0,5,179,99,170,104,0,0,28,132,201,123,9,0,0,3,111,99,9,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,1,100,0,0,0,0,0,0,147,0,0,0,0,0,0,162,0,0,0,0,0,0,144,0,0,0,0,0,0,154,0,0,0,0,0,0,21,0,0,0
7,0,0,0,0,0,0,0,0,0,0,7,49,13,0,0,16,166,142,203,101,0,0,65,95,29,175,13,0,0,0,1,164,48,0,0,0,0,99,90,0,0,0,0,0,105,3,0,0,0
2,0,0,0,0,0,0,0,0,0,70,111,81,0,0,0,0,55,0,151,0,0,0,0,0,3,164,58,35,0,67,120,158,156,39,2,0,67,98,103,4,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,3,49,66,88,0,0,0,72,142,182,44,0,0,0,37,234,79,0,0,0,4,149,181,0,0,0,0,33,178,114,0,0,0,0,1,42,0,0,0,0
6,0,0,0,0,31,0,0,0,0,0,79,49,0,0,0,0,21,82,0,0,0,0,0,87,56,92,0,0,0,0,86,2,76,0,0,0,0,51,79,62,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,22,39,0,0,0,0,25,150,165,5,0,0,0,40,184,85,0,0,0,0,0,138,7,0,0,0,0,62,89,0,0,0,0,4,96,0,0,0,0
4,0,0,0,0,0,0,0,17,61,0,0,118,5,0,15,209,22,0,192,20,0,0,124,171,187,246,20,0,0,48,146,57,206,52,0,0,0,0,0,105,115,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,40,203,91,0,0,0,115,215,157,133,0,0,70,128,25,9,119,0,0,173,45,1,112,84,0,0,55,200,183,60,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,23,94,3,0,0,0,15,101,109,2,0,0,0,93,53,117,0,0,0,0,50,158,8,0,0,0,0,39,69,0,0,0,0,0,48,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,94,47,0,0,0,0,31,199,5,0,0,0,0,168,51,0,0,0,0,90,134,0,0,0,0,0,169,18,0,0,0,0,0,32,0,0,0,0
1,0,0,0,11,17,0,0,0,0,0,75,110,0,0,0,5,52,195,85,0,0,0,17,64,66,93,0,0,0,1,48,100,125,40,0,0,50,128,49,35,12,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,10,128,217,200,66,0,0,8,55,16,191,112,0,0,0,59,190,122,3,0,0,57,197,30,69,104,4,0,42,215,222,150,87,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,4,0,46,0,0,0,0,97,0,117,0,0,0,0,92,102,137,0,0,0,0,0,44,57,0,0,0,0,0,107,3,0,0,0,0,0,45,0,0,0
3,0,0,0,0,0,0,0,0,42,115,187,159,58,0,0,35,61,130,249,155,0,0,0,45,222,241,17,0,0,0,0,3,216,57,0,0,193,196,209,179,14,0,0,23,63,18,0,0,0
2,0,0,0,0,0,0,0,0,138,190,145,104,3,0,0,108,91,145,217,146,0,0,0,0,7,159,97,0,0,0,36,191,112,0,0,0,0,115,233,168,109,0,0,0,0,27,55,14,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,61,130,157,33,0,0,0,48,71,150,2,0,0,0,56,151,2,0,0,0,0,116,4,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,8,36,36,2,0,0,35,132,95,175,71,0,0,0,0,63,205,147,41,0,0,0,0,99,14,146,0,0,0,0,68,156,69,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0,0,0,110,151,50,0,0,0,0,177,108,184,0,0,0,31,209,113,2,0,0,38,171,188,0,0,0,0,139,150,138,0,0,0,0,17,59,4,0,0,0
6,0,0,0,32,53,0,0,0,0,4,121,0,0,0,0,0,58,56,0,0,0,0,0,108,7,86,52,0,0,0,106,69,104,52,0,0,0,28,116,51,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,9,59,5,0,0,0,30,144,204,77,0,0,0,13,143,183,1,0,0,0,2,148,27,0,0,0,0,109,63,0,0,0,0,37,72,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,93,181,36,0,0,0,41,210,155,90,0,0,0,128,123,153,79,0,0,0,211,72,194,5,0,0,0,199,218,51,0,0,0,0,24,23,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,27,103,23,0,0,0,106,103,34,0,0,0,73,119,52,0,0,0,39,11,117,28,0,0,0,78,96,14,0,0,0,0,0,0,0,0,0,0
6,0,0,0,17,12,0,0,0,0,0,166,102,0,0,0,0,63,198,0,0,0,0,0,135,215,107,1,0,0,0,127,222,223,85,0,0,0,16,138,156,12,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,68,212,5,0,0,0,40,216,195,105,0,0,10,210,51,119,122,0,0,43,217,54,167,10,0,0,22,231,186,51,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,4,27,31,2,0,0,0,79,113,114,136,0,0,0,0,0,38,163,79,12,0,36,139,156,115,16,0,0,0,0,39,68,0,0,0,0,0,1,4,0,0
6,0,0,0,0,0,0,0,0,0,3,178,25,0,0,0,0,83,141,19,2,0,0,0,152,35,198,67,0,0,0,171,147,161,34,0,0,0,42,178,48,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,84,38,0,0,0,0,0,139,39,0,0,0,0,0,174,14,0,0,0,0,0,176,0,0,0,0,0,0,165,0,0,0,0,0,0,30,0,0,0
8,0,0,0,0,0,0,0,0,0,4,108,107,94,0,0,0,108,113,183,25,0,0,0,16,228,81,0,0,0,0,136,90,113,0,0,0,0,196,146,28,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,9,29,0,0,0,9,112,110,107,0,0,0,0,0,55,58,0,0,0,0,0,98,6,0,0,0,0,0,112,0,0,0,0,0,0,89,0,0,0
9,0,0,0,0,0,0,0,0,0,0,75,105,0,0,0,0,72,92,128,0,0,0,0,29,159,104,0,0,0,0,0,126,19,0,0,0,0,33,114,0,0,0,0,0,61,10,0,0,0
3,0,0,0,0,0,0,0,0,47,76,72,15,0,0,0,7,47,94,84,0,0,0,0,17,154,8,0,0,0,0,4,60,162,0,0,0,0,0,38,109,0,0,0,0,10,72,1,0,0
9,0,0,0,0,0,0,0,0,0,0,44,47,2,0,0,1,121,110,194,21,0,0,23,172,126,158,0,0,0,2,54,81,75,0,0,0,0,0,145,5,0,0,0,0,57,75,0,0,0
8,0,0,0,0,0,0,0,0,0,6,109,90,0,0,0,6,141,92,153,2,0,0,0,83,146,22,0,0,0,0,99,78,82,0,0,0,0,113,41,108,0,0,0,0,19,59,3,0,0
5,0,0,0,0,0,0,0,0,0,0,0,72,128,52,0,0,32,48,108,64,16,0,0,168,88,0,0,0,0,0,8,144,44,0,0,0,88,188,152,8,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,88,92,0,0,0,0,0,128,145,1,0,0,0,0,30,98,62,0,0,0,0,0,0,112,0,0,0,0,43,105,127,0,0,0,0,0,23,23,0,0
3,0,0,0,0,0,0,0,2,1,55,167,174,63,0,6,2,40,186,206,55,0,0,0,62,187,65,0,0,0,0,0,3,169,0,0,0,99,183,195,98,0,0,0,4,42,0,0,0,0
3,0,0,0,0,0,0,0,0,0,90,113,80,0,0,0,0,2,98,63,0,0,0,0,32,80,122,0,0,0,0,9,0,105,1,0,0,5,152,135,87,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,16,142,190,89,0,0,15,217,177,171,156,0,0,111,130,0,68,156,0,0,166,39,0,82,133,0,0,140,169,147,175,23,0,0,18,63,58,4,0,0
7,0,0,0,0,0,0,0,0,0,27,38,16,0,0,0,137,194,153,188,98,0,0,8,67,0,120,78,0,0,0,0,32,168,0,0,0,0,0,165,47,0,0,0,0,0,184,30,0,0
4,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,9,110,104,22,0,0,0,95,187,130,70,0,0,0,1,119,0,7,0,0,0,72,38,0,0,0,0,0,58,0,0,0,0
9,0,0,0,0,0,0,0,0,0,26,40,0,24,0,0,72,114,62,76,146,0,0,43,126,128,206,8,0,0,0,0,83,75,0,0,0,0,0,151,0,0,0,0,0,0,98,0,0,0
8,0,0,0,0,0,0,0,0,0,1,69,116,99,1,0,0,124,82,199,116,0,0,0,61,180,166,1,0,0,0,70,179,43,0,0,0,17,168,126,22,0,0,0,10,126,52,0,0,0
0,0,0,0,0,0,0,0,0,0,67,166,107,13,0,0,13,239,186,171,122,0,0,104,154,1,0,188,0,0,113,127,0,0,174,0,0,13,176,162,147,96,0,0,0,0,37,48,0,0
9,0,0,0,0,0,0,0,0,0,0,12,49,0,0,0,0,75,110,181,14,0,0,0,139,103,158,0,0,0,0,12,113,43,0,0,0,0,40,110,0,0,0,0,0,96,3,0,0,0
4,0,0,0,0,0,0,0,0,7,41,1,161,0,0,0,77,133,2,238,0,0,0,114,233,212,213,0,0,0,8,57,66,235,0,0,0,0,0,59,227,0,0,0,0,0,5,38,0,0
1,0,0,0,0,0,0,0,0,0,0,0,158,44,0,0,0,0,41,163,0,0,0,0,2,192,28,0,0,0,0,82,114,0,0,0,0,0,188,41,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,5,83,0,47,37,0,0,122,90,0,51,152,0,0,198,8,36,63,209,0,0,109,160,139,111,161,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,34,43,0,0,0,14,79,144,8,0,0,0,167,171,95,0,0,0,0,54,124,36,0,0,0,0,115,4,0,0,0,0,0,49,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,100,204,0,0,0,0,50,177,6,0,0,0,0,158,176,152,14,0,0,0,179,91,171,28,0,0,0,91,188,115,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,4,106,156,8,0,0,0,130,253,253,125,0,0,40,211,113,55,197,0,0,184,149,21,107,126,0,0,175,129,150,95,0,0,0,18,63,30,0,0,0
4,0,0,0,0,0,0,0,0,0,22,106,0,74,0,0,0,106,49,7,140,0,0,34,138,0,101,68,0,0,109,155,148,199,1,0,0,2,14,31,114,0,0,0,0,0,5,24,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,1,83,116,139,63,0,0,104,157,5,0,0,0,44,5,133,0,0,0,0,39,114,32,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,64,0,0,0,0,0,76,128,0,0,0,0,32,164,4,0,0,0,0,172,164,156,72,0,0,0,195,52,156,40,0,0,0,84,112,20,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,7,40,47,0,0,0,0,0,130,112,0,0,0,0,0,202,12,0,0,0,0,30,172,26,0,0,0,0,88,63,0,0,0,0,0,25,0,0,0,0
0,0,0,0,0,0,0,0,0,2,101,124,131,7,0,0,108,34,0,48,126,4,0,115,0,0,0,34,55,0,101,37,0,0,46,52,0,2,98,110,108,104,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,21,184,153,4,0,0,0,146,238,214,48,0,0,6,190,58,168,83,0,0,17,195,3,168,55,0,0,8,197,199,213,3,0,0,0,12,55,8,0,0
1,0,0,0,20,0,0,0,0,0,57,237,7,0,0,0,0,80,174,0,0,0,0,0,0,144,0,0,0,0,0,2,189,125,30,0,0,0,59,175,83,1,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74,178,193,94,0,0,20,84,41,149,15,0,0,0,1,134,22,0,0,0,0,108,48,0,0,0,0,41,76,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,137,0,0,0,0,0,0,138,0,0,0,0,0,0,151,0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0
6,0,0,0,28,46,0,0,0,0,0,83,65,0,0,0,0,16,144,48,20,0,0,0,117,140,126,90,0,0,0,174,175,143,14,0,0,0,76,115,16,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,2,144,166,18,0,0,0,4,47,185,55,0,0,0,0,90,142,130,0,0,0,0,0,5,206,0,0,0,0,121,142,110,0,0,0,0,30,41,1,0,0
0,0,0,0,0,0,0,0,0,0,0,91,176,33,0,0,0,20,228,233,51,0,0,2,168,50,102,83,0,0,71,99,0,119,53,0,0,51,188,160,101,0,0,0,0,32,21,0,0,0
2,0,0,0,0,0,0,0,0,38,137,162,102,0,0,0,69,18,58,153,0,0,0,0,17,181,23,0,0,0,0,147,34,0,0,0,0,0,76,160,147,105,22,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,6,163,0,0,0,0,0,117,133,0,0,0,0,3,190,17,0,0,0,0,84,132,0,0,0,0,0,155,17,0,0,0,0,0,43,2,0,0,0
1,0,0,0,0,0,0,0,0,0,0,24,170,0,0,0,0,0,59,190,0,0,0,0,0,157,127,0,0,0,0,38,223,15,0,0,0,0,157,76,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,26,13,0,0,4,79,191,234,73,0,0,43,86,63,161,1,0,0,0,13,165,1,0,0,0,0,156,40,0,0,0,0,41,68,0,0,0,0
9,0,0,0,0,0,0,0,0,0,75,143,91,0,0,0,0,141,69,151,48,0,0,0,57,70,93,50,0,0,0,127,0,61,64,0,0,0,101,152,144,3,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,2,133,185,59,0,0,0,105,225,121,78,0,0,0,171,47,134,56,0,0,48,135,2,172,6,0,0,49,214,213,87,0,0,0,0,28,44,0,0,0
2,0,0,6,36,1,0,0,0,0,167,224,143,0,0,0,0,51,7,134,46,0,0,0,48,84,104,82,0,0,62,220,151,236,136,0,0,44,189,188,146,11,0,0,0,0,0,0,0,0
6,0,0,0,4,48,0,0,0,0,0,120,44,0,0,0,0,56,108,76,36,0,0,0,140,100,96,124,0,0,20,148,144,124,60,0,0,0,116,104,12,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,1,48,38,51,41,0,0,4,76,81,61,138,25,0,0,0,0,0,144,1,0,0,0,0,51,104,0,0,0,0,0,144,13,0,0,0,0,0,129,15,0,0
8,0,0,0,0,0,0,0,0,0,1,145,112,60,0,0,0,40,119,188,67,0,0,0,16,199,72,0,0,0,0,123,34,93,0,0,0,35,133,114,19,0,0,0,2,58,5,0,0,0
3,0,0,0,0,0,0,0,17,93,126,64,0,0,0,15,28,49,196,3,0,0,0,0,26,86,151,15,0,0,0,0,0,25,124,0,0,0,2,47,35,129,0,0,0,0,46,76,18,0
9,0,0,0,0,0,0,0,0,0,0,40,58,3,0,0,0,136,143,169,106,0,0,11,175,71,200,6,0,0,0,75,190,72,0,0,0,0,46,124,0,0,0,0,0,116,5,0,0,0
0,0,0,0,0,0,0,0,0,0,125,210,108,0,0,0,37,152,98,108,100,0,0,85,85,0,1,156,0,0,68,109,0,19,150,0,0,16,189,107,170,27,0,0,0,0,0,0,0,0
